provider_id,total_claims,total_cost,er_visits,avoidable_er_visits,er_rate,avoidable_er_rate,er_visits_per_1000,avg_cost_per_er_visit
P110,862,1898629.187738945,730,278,0.8468677494199536,0.38082191780821917,1.46e-05,2600.8619010122534
P122,891,1916896.5055984226,754,286,0.8462401795735129,0.3793103448275862,1.508e-05,2542.3030578228418
P128,811,1738949.2998831775,698,255,0.8606658446362515,0.3653295128939828,1.396e-05,2491.3313751907986
P132,878,1936136.4497788642,764,279,0.8701594533029613,0.36518324607329844,1.528e-05,2534.2100127995604
P134,839,1827745.8129158763,738,296,0.8796185935637664,0.4010840108401084,1.476e-05,2476.6203427044393
P137,910,1927297.2807904643,782,302,0.8593406593406593,0.38618925831202044,1.564e-05,2464.574527865044
P146,856,1816288.6539898473,727,303,0.8492990654205608,0.4167812929848693,1.454e-05,2498.3337744014407
P150,850,1803988.0767906257,720,295,0.8470588235294118,0.4097222222222222,1.44e-05,2505.5389955425358
P153,810,1823738.7193217652,682,271,0.8419753086419753,0.3973607038123167,1.364e-05,2674.1036940201834
P156,911,1963104.589652487,780,310,0.8562019758507134,0.3974358974358974,1.56e-05,2516.800755964727
P161,860,1876517.6843201225,737,285,0.8569767441860465,0.38670284938941657,1.474e-05,2546.1569665130564
P166,843,1776756.8489958108,713,278,0.8457888493475683,0.3899018232819074,1.426e-05,2491.9450897556953
P183,821,1766483.579723242,671,263,0.8172959805115713,0.3919523099850969,1.342e-05,2632.613382597976
P186,809,1734451.082252807,703,300,0.8689740420271941,0.4267425320056899,1.406e-05,2467.213488268573
P195,901,1858602.1258404318,743,301,0.8246392896781354,0.40511440107671604,1.486e-05,2501.483345680258
P198,876,1820986.7316428288,743,285,0.8481735159817352,0.3835800807537012,1.486e-05,2450.8569739472796
P208,881,1866717.2834324064,731,284,0.8297389330306469,0.38850889192886456,1.462e-05,2553.6488145450157
P215,844,1770105.4170769027,717,285,0.8495260663507109,0.39748953974895396,1.434e-05,2468.7662720737835
P216,865,1708524.5539462764,738,307,0.8531791907514451,0.4159891598915989,1.476e-05,2315.0739213364177
P221,822,1766550.1170891984,698,281,0.8491484184914841,0.40257879656160456,1.396e-05,2530.8740932510004
P244,826,1761291.9104230434,711,283,0.860774818401937,0.3980309423347398,1.422e-05,2477.20381212805
P25,879,1853505.3902394352,733,268,0.8339021615472128,0.3656207366984993,1.466e-05,2528.6567397536633
P250,907,1843650.7539901913,781,304,0.8610804851157663,0.3892445582586428,1.562e-05,2360.6283661846237
P259,860,1792437.2426978415,731,296,0.85,0.4049247606019152,1.462e-05,2452.034531734393
P262,812,1721716.623782944,696,277,0.8571428571428571,0.39798850574712646,1.392e-05,2473.730781297333
P271,874,1843299.3769215792,741,305,0.8478260869565217,0.4116059379217274,1.482e-05,2487.5835046175157
P277,870,1791832.4141919487,718,304,0.825287356321839,0.4233983286908078,1.436e-05,2495.5883206015997
P291,897,1916869.256497989,742,304,0.8272017837235228,0.40970350404312667,1.484e-05,2583.381747301872
P308,890,1956850.6436505017,767,302,0.8617977528089887,0.39374185136897,1.534e-05,2551.30462014407
P317,867,1805444.651477031,729,305,0.8408304498269896,0.41838134430727025,1.458e-05,2476.604460187971
P32,868,1832913.2631233337,724,322,0.8341013824884793,0.4447513812154696,1.448e-05,2531.6481534852674
P327,825,1718523.5796335419,699,300,0.8472727272727273,0.4291845493562232,1.398e-05,2458.5458936102173
P332,860,1932963.874737132,735,308,0.8546511627906976,0.41904761904761906,1.47e-05,2629.8828227716085
P333,867,1791862.6351152833,725,291,0.8362168396770473,0.4013793103448276,1.45e-05,2471.5346691245286
P334,874,1857835.9552593469,764,311,0.8741418764302059,0.40706806282722513,1.528e-05,2431.722454527941
P335,859,1798297.9254066378,729,311,0.8486612339930152,0.42661179698216734,1.458e-05,2466.800995070834
P344,836,1793113.4714095055,719,288,0.8600478468899522,0.40055632823365783,1.438e-05,2493.8991257434013
P352,856,1731874.920327367,731,296,0.8539719626168224,0.4049247606019152,1.462e-05,2369.185937520338
P355,822,1725825.918594907,694,283,0.8442822384428224,0.40778097982708933,1.388e-05,2486.7808625286843
P356,809,1736124.6809933034,689,286,0.8516687268232386,0.41509433962264153,1.378e-05,2519.7745732849107
P364,905,1954360.990964677,775,316,0.856353591160221,0.40774193548387094,1.55e-05,2521.7561173737768
P368,839,1744708.286390575,726,296,0.865315852205006,0.40771349862258954,1.452e-05,2403.179457838258
P37,885,1843404.3216576274,748,290,0.8451977401129943,0.3877005347593583,1.496e-05,2464.4442802909457
P372,848,1844079.1846473052,721,289,0.8502358490566038,0.40083217753120665,1.442e-05,2557.6687720489667
P374,777,1582306.468069592,649,234,0.8352638352638353,0.3605546995377504,1.298e-05,2438.068517826798
P381,880,1886581.766385415,755,316,0.8579545454545454,0.4185430463576159,1.51e-05,2498.7837965369736
P382,846,1888746.4010259777,727,305,0.859338061465721,0.4195323246217332,1.454e-05,2598.000551617576
P391,827,1706079.243768048,692,277,0.8367593712212817,0.40028901734104044,1.384e-05,2465.432433190821
P394,920,1941340.8992287836,773,343,0.8402173913043478,0.44372574385511,1.546e-05,2511.4371270747524
P397,885,1898141.9828769013,767,292,0.8666666666666667,0.38070404172099087,1.534e-05,2474.7613857586716
P40,858,1916425.963603356,733,295,0.8543123543123543,0.4024556616643929,1.466e-05,2614.496539704442
P402,859,1813271.8988304653,724,294,0.8428405122235157,0.40607734806629836,1.448e-05,2504.5191972796483
P410,828,1792135.3118789485,695,286,0.8393719806763285,0.4115107913669065,1.39e-05,2578.6119595380555
P417,840,1865807.4111801765,720,274,0.8571428571428571,0.38055555555555554,1.44e-05,2591.3991821946897
P419,907,1925943.3911120617,781,320,0.8610804851157663,0.40973111395646605,1.562e-05,2465.9966595544965
P43,890,1826916.1988397606,756,297,0.849438202247191,0.39285714285714285,1.512e-05,2416.555818571112
P434,851,1879606.2456649034,728,298,0.8554641598119859,0.40934065934065933,1.456e-05,2581.876711078164
P436,848,1804587.782300807,732,280,0.8632075471698113,0.3825136612021858,1.464e-05,2465.2838556021957
P437,843,1663516.188272198,729,290,0.8647686832740213,0.39780521262002744,1.458e-05,2281.915210249929
P446,792,1643323.1757229094,677,285,0.8547979797979798,0.42097488921713444,1.354e-05,2427.360673150531
P457,847,1867373.055417684,723,295,0.8536009445100354,0.40802213001383125,1.446e-05,2582.8119715320663
P459,884,1871937.1246435596,751,300,0.8495475113122172,0.3994673768308921,1.502e-05,2492.592709245752
P465,849,1878990.7406902914,709,286,0.8351001177856302,0.4033850493653032,1.418e-05,2650.198505910143
P469,871,1875918.3126357617,734,297,0.8427095292766934,0.40463215258855584,1.468e-05,2555.74701993973
P470,863,1697801.7723897041,725,272,0.8400926998841252,0.37517241379310345,1.45e-05,2341.79554812373
P486,843,1806561.0191144797,719,286,0.8529062870699882,0.39777468706536856,1.438e-05,2512.6022518977466
P494,863,1768697.377214307,724,279,0.8389339513325609,0.38535911602209943,1.448e-05,2442.9521784727995
P502,850,1766061.129912622,734,324,0.8635294117647059,0.44141689373297005,1.468e-05,2406.0778336684225
P514,848,1831713.8193047284,731,283,0.8620283018867925,0.387140902872777,1.462e-05,2505.764458693199
P537,872,1963682.1525226708,748,268,0.8577981651376146,0.3582887700534759,1.496e-05,2625.2435194153354
P540,821,1905160.9097671243,708,291,0.8623629719853837,0.4110169491525424,1.416e-05,2690.9052397840737
P55,822,1714166.5469516707,695,293,0.8454987834549879,0.42158273381294964,1.39e-05,2466.4266862613968
P552,880,1825350.6384923817,740,295,0.8409090909090909,0.39864864864864863,1.48e-05,2466.690052016732
P558,878,1827002.2978788523,768,292,0.8747152619589977,0.3802083333333333,1.536e-05,2378.9092420297557
P56,857,1795206.8018993977,726,280,0.8471411901983664,0.3856749311294766,1.452e-05,2472.7366417347075
P568,816,1633995.0692597975,694,277,0.8504901960784313,0.39913544668587897,1.388e-05,2354.4597539766532
P572,858,1798898.0352876536,727,281,0.8473193473193473,0.38651994497936726,1.454e-05,2474.4127032842553
P575,869,1902695.8904855107,748,317,0.8607594936708861,0.42379679144385024,1.496e-05,2543.711083536779
P587,834,1774962.9635156172,710,286,0.8513189448441247,0.4028169014084507,1.42e-05,2499.947835937489
P592,844,1776311.6054740455,726,273,0.8601895734597157,0.3760330578512397,1.452e-05,2446.710200377473
P594,851,1872566.4622661248,725,269,0.8519388954171563,0.37103448275862067,1.45e-05,2582.8502927808618
P596,870,1685803.9415186106,739,290,0.8494252873563218,0.39242219215155616,1.478e-05,2281.196131960231
P602,879,1891549.9674918167,740,268,0.8418657565415245,0.3621621621621622,1.48e-05,2556.1486047186713
P603,803,1690039.1960233843,671,291,0.8356164383561644,0.4336810730253353,1.342e-05,2518.6873264133897
P614,872,1779219.6786303946,729,274,0.8360091743119266,0.37585733882030176,1.458e-05,2440.6305605355205
P619,844,1768054.5947262058,708,282,0.8388625592417062,0.3983050847457627,1.416e-05,2497.252252438144
P63,839,1773936.921564965,705,272,0.8402860548271752,0.38581560283687943,1.41e-05,2516.2225837800925
P633,813,1715229.69196769,702,259,0.8634686346863468,0.36894586894586895,1.404e-05,2443.3471395551137
P641,828,1675223.498812702,691,279,0.8345410628019324,0.4037626628075253,1.382e-05,2424.3465974134615
P649,840,1774605.7502193148,722,273,0.8595238095238096,0.3781163434903047,1.444e-05,2457.9027011347853
P65,807,1752548.5120291659,691,285,0.8562577447335812,0.41244573082489144,1.382e-05,2536.2496556138435
P655,881,1866872.483741437,756,310,0.8581157775255391,0.41005291005291006,1.512e-05,2469.4080472770333
P66,853,1835283.2235171972,740,286,0.8675263774912075,0.3864864864864865,1.48e-05,2480.1124642124287
P665,847,1752725.11805615,723,299,0.8536009445100354,0.4135546334716459,1.446e-05,2424.239444061065
P671,849,1735756.7725377902,725,284,0.8539458186101295,0.3917241379310345,1.45e-05,2394.1472724659175
P678,850,1826478.4354185837,722,303,0.8494117647058823,0.4196675900277008,1.444e-05,2529.748525510504
P694,801,1677840.1803022425,690,267,0.8614232209737828,0.3869565217391304,1.38e-05,2431.652435220641
P695,806,1719796.814408791,695,289,0.8622828784119106,0.4158273381294964,1.39e-05,2474.527790516246
P696,836,1700128.7408568694,707,297,0.8456937799043063,0.4200848656294201,1.414e-05,2404.708261466576
P7,899,1939729.272420255,774,298,0.8609566184649611,0.3850129198966408,1.548e-05,2506.110171085601
P711,849,1787053.5840411133,718,269,0.8457008244994111,0.3746518105849582,1.436e-05,2488.9325683023862
P739,819,1665064.526683965,708,266,0.8644688644688645,0.3757062146892655,1.416e-05,2351.7860546383686
P743,806,1653666.5981644653,674,270,0.8362282878411911,0.40059347181008903,1.348e-05,2453.511273241046
P746,840,1873924.1269029398,743,302,0.8845238095238095,0.4064602960969044,1.486e-05,2522.105150609609
P75,890,1869987.0399497787,740,302,0.8314606741573034,0.4081081081081081,1.48e-05,2527.009513445647
P752,839,1773481.9381187938,717,287,0.8545887961859356,0.400278940027894,1.434e-05,2473.4755064418323
P756,861,1836553.0776759721,727,271,0.8443670150987224,0.37276478679504815,1.454e-05,2526.2078097331114
P761,932,1927176.1335327292,790,342,0.8476394849785408,0.43291139240506327,1.58e-05,2439.463460168012
P763,829,1827955.585048274,707,270,0.8528347406513872,0.38189533239038187,1.414e-05,2585.5100212846874
P775,830,1680673.53039884,697,261,0.8397590361445784,0.3744619799139168,1.394e-05,2411.296313341234
P780,856,1827881.5338675955,730,301,0.852803738317757,0.4123287671232877,1.46e-05,2503.947306667939
P790,831,1916922.9348279661,722,282,0.8688327316486161,0.39058171745152354,1.444e-05,2655.017915274191
P796,896,1882388.6428702928,757,295,0.8448660714285714,0.38969616908850724,1.514e-05,2486.6428571602282
P804,866,1903268.6159824484,740,295,0.8545034642032333,0.39864864864864863,1.48e-05,2571.984616192498
P812,853,1856124.897687403,726,304,0.8511137162954279,0.418732782369146,1.452e-05,2556.6458645832
P814,850,1842945.6671498767,725,278,0.8529411764705882,0.383448275862069,1.45e-05,2541.9940236550024
P821,851,1964534.7415563576,726,319,0.8531139835487661,0.4393939393939394,1.452e-05,2705.970718397187
P825,847,1777345.9645098466,719,293,0.8488783943329398,0.40751043115438107,1.438e-05,2471.969352586713
P827,836,1731849.8636204305,719,287,0.8600478468899522,0.3991655076495132,1.438e-05,2408.6924389713913
P828,808,1775732.0428257359,686,300,0.849009900990099,0.43731778425655976,1.372e-05,2588.5306746730844
P829,862,1724157.158842555,731,283,0.8480278422273781,0.387140902872777,1.462e-05,2358.628124271621
P841,876,1789838.9915792563,745,299,0.8504566210045662,0.40134228187919463,1.49e-05,2402.4684450728273
P843,850,1841812.4534223033,738,275,0.8682352941176471,0.37262872628726285,1.476e-05,2495.680831195533
P844,883,1962019.074234192,742,306,0.840317100792752,0.4123989218328841,1.484e-05,2644.230558267105
P851,832,1732613.413609978,708,295,0.8509615384615384,0.4166666666666667,1.416e-05,2447.194087019743
P862,859,1843353.5730309612,735,302,0.8556461001164144,0.4108843537414966,1.47e-05,2507.964044940083
P873,828,1727160.6296022097,695,282,0.8393719806763285,0.40575539568345326,1.39e-05,2485.1232080607333
P876,829,1759730.6015719804,711,280,0.8576598311218335,0.39381153305203936,1.422e-05,2475.007878441604
P882,831,1834842.1589629573,713,285,0.8580024067388689,0.3997194950911641,1.426e-05,2573.411162640894
P888,833,1716810.5180993138,718,285,0.8619447779111644,0.3969359331476323,1.436e-05,2391.10100013832
P894,841,1858856.7853953245,718,316,0.8537455410225921,0.4401114206128134,1.436e-05,2588.9370270129866
P896,842,1826793.1549776334,715,302,0.8491686460807601,0.4223776223776224,1.43e-05,2554.9554615071797
P897,866,1846017.6587590557,737,321,0.851039260969977,0.4355495251017639,1.474e-05,2504.7729426852857
P900,925,1860910.7523670355,788,310,0.8518918918918919,0.3934010152284264,1.576e-05,2361.5618684860856
P905,814,1793983.2945260948,697,282,0.8562653562653563,0.40459110473457677,1.394e-05,2573.8641241407386
P916,882,1814577.0427344628,759,283,0.8605442176870748,0.37285902503293805,1.518e-05,2390.7470918767626
P92,846,1875727.2485021092,721,284,0.8522458628841607,0.39389736477115117,1.442e-05,2601.563451459236
P931,820,1763885.3076630733,688,279,0.8390243902439024,0.4055232558139535,1.376e-05,2563.786784394002
P935,785,1705142.9739417443,653,270,0.8318471337579618,0.41347626339969373,1.306e-05,2611.244983065458
P936,881,1902857.6200266255,755,293,0.8569807037457434,0.3880794701986755,1.51e-05,2520.341218578312
P950,841,1819497.2426668406,730,270,0.8680142687277052,0.3698630136986301,1.46e-05,2492.461976255946
P956,818,1665954.1405394252,685,259,0.8374083129584352,0.3781021897810219,1.37e-05,2432.0498402035405
P958,872,1965670.3098583822,754,323,0.8646788990825688,0.42838196286472147,1.508e-05,2606.989800873186
P96,837,1779975.594309809,711,275,0.8494623655913979,0.38677918424753865,1.422e-05,2503.481848537003
P962,900,1932421.8051942603,774,307,0.86,0.39664082687338503,1.548e-05,2496.6689989589927
P966,858,1828413.871878846,746,288,0.8694638694638694,0.38605898123324395,1.492e-05,2450.9569328134667
P967,879,1857835.666656553,747,291,0.8498293515358362,0.3895582329317269,1.494e-05,2487.062472097126
P968,855,1757044.9435224463,714,303,0.8350877192982457,0.42436974789915966,1.428e-05,2460.847259835359
P991,915,2010806.5062351285,782,302,0.8546448087431694,0.38618925831202044,1.564e-05,2571.363818714998
P993,866,1736057.1691314566,724,290,0.836027713625866,0.4005524861878453,1.448e-05,2397.869018137371
P997,880,1834929.9607704978,736,287,0.8363636363636363,0.389945652173913,1.472e-05,2493.111359742524
